archivo,latitud,longitud,localidad,alcaldia_cercana,dist_alcaldia_m,dist_troncal_m,dist_camara_m
12c4977d35e9400d963b9d6df80297c3.jpeg,4.68504517,-74.06495938,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,2070,137,774
f68de8d0637c4f23b3b0b25bb6e2d651.jpg,4.63034,-74.07549,TEUSAQUILLO,Alcaldía Local de Teusaquillo,314,25,1438
1b7e9eb034ba4fafb139420d805b3c62.jpeg,4.5987,-74.0739,CANDELARIA,Alcaldía Local de La Candelaria,292,121,851
30b3d525a7104fcb80538213351b41aa.jpg,4.593,-74.0796,CANDELARIA,Alcaldía Local de La Candelaria,1180,159,1607
000bc4423c5e49589b668b8e93094d68.jpeg,4.6026,-74.0665,CANDELARIA,Alcaldía Local de Santafé,595,54,931
9db0fae6331e4d38ac1c41feaffeb413.jpeg,4.60488,-74.076182,SANTA FE,Alcaldía Local de Santafé,695,96,296
5687dfdd30b34cb4a7140f86fcb3b445.jpeg,4.697627777777778,-74.07688055555555,SUBA,Alcaldía Local de Barrios Unidos,2478,49,1394
d9702074e98b49b9938aa2440cd73965.jpeg,4.738452777777778,-74.05750277777777,SUBA,Alcaldía Local de Suba,2962,145,1789
c70b0dfae5844682810f7fe0a1904212.jpeg,4.6987,-74.0573,SUBA,Alcaldía Local de Usaquén,2899,124,287
f6fd14e2f2624508b22abbda44a62b88.jpeg,4.680492,-74.040361,CHAPINERO,Alcaldía Local de Usaquén,1893,35,764
461d9efc013146b498bf77a072409a57.jpeg,4.0,-74.0,,Alcaldía Local de Sumapaz,28636,46271,64961
5948901bd0484b1583a1e7f3315f2539.jpeg,4.605656,-74.075711,SANTA FE,Alcaldía Local de Santafé,625,96,208
212e8eb344374d3eb0c1b28156d6c7f3.jpg,4.7278,-74.0624,SUBA,Alcaldía Local de Suba,2799,39,1379
599b462ed60b4010abe8fc95d7842e3b.jpg,4.604,-74.0709,SANTA FE,Alcaldía Local de Santafé,294,54,433
d66208f053f14e2f95d9a1e2c46f3bd4.jpg,4.599821111111111,-74.07312277777777,CANDELARIA,Alcaldía Local de La Candelaria,163,111,733
3e3243a5e2614d19b11c09c9458fa8c2.jpg,4.5936,-74.0805,CANDELARIA,Alcaldía Local de La Candelaria,1216,42,1589
a2bcdd9296404e8895e90d7570bbe553.jpg,4.585351666666666,-74.13319805555555,TUNJUELITO,Alcaldía Local de Tunjuelito,2008,8,859
f0df934bb56c4b529705a065a80050bf.jpeg,4.7569,-74.089,SUBA,Alcaldía Local de Suba,1873,167,1342
17346f4fe1c94147b917fe2b6fba35a5.jpg,4.6291302777777785,-74.07243666666666,TEUSAQUILLO,Alcaldía Local de Teusaquillo,50,26,1644
26cc0550cd6343a0987121635611ae85.jpg,4.601118055555555,-74.06825555555555,CANDELARIA,Alcaldía Local de La Candelaria,396,5,863
2c48d01b1fb5489e80ce41fd2793df1c.jpg,4.5936,-74.0779,CANDELARIA,Alcaldía Local de La Candelaria,998,225,1480
11082e89acca4029acc23bfa2a5662c5.jpeg,4.704625,-74.03646111111111,USAQUEN,Alcaldía Local de Usaquén,1195,7,1279
308cba80c60543f89d65d3bba0c54100.jpeg,4.6026,-74.0665,CANDELARIA,Alcaldía Local de Santafé,595,54,931
664196b6a3e246a58d85dc9dc8f30a93.jpg,4.585319722222222,-74.13646166666668,TUNJUELITO,Alcaldía Local de Tunjuelito,2155,8,1208
378f9b3ab0ac449ba6e6d91541a2a150.jpeg,4.738733333333333,-74.06116388888888,SUBA,Alcaldía Local de Suba,2555,5,1642
76752027bf9b41548b35c4ee44730072.jpeg,4.696925,-74.07775833333334,SUBA,Alcaldía Local de Barrios Unidos,2385,78,1313
e5e4b74cde6f4b16a04e9e69caa916c7.jpeg,4.5446,-74.0983,SAN CRISTOBAL,Alcaldía Local de San Cristóbal,3095,1,4027
3ef7fe35bdd64eb1abd8d5cd21bc1fa8.jpeg,4.751644444444445,-74.08322777777778,SUBA,Alcaldía Local de Suba,1216,0,1508
2f04f04b82834e0b9da79df1d2de3222.jpeg,4.7569,-74.089,SUBA,Alcaldía Local de Suba,1873,167,1342
7c98b060098f4382b787df320da64600.jpeg,4.68515567,-74.0704132,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,1585,453,809
afb142f4bbad4ed0926f8bf6eb175e17.jpeg,4.751283333333333,-74.08271666666667,SUBA,Alcaldía Local de Suba,1182,2,1549
55075ff7832f40f6be89674409d7f54d.jpeg,4.688678,-74.042566,USAQUEN,Alcaldía Local de Usaquén,1425,3,912
35b3bd48ef7b461c8c50d2e567b905ae.jpeg,4.738683333333333,-74.05764722222222,SUBA,Alcaldía Local de Suba,2944,124,1781
a4072bec623b4919bffeb4f740187160.jpg,4.6021,-74.0765,CANDELARIA,Alcaldía Local de La Candelaria,577,6,551
4340fcfaa921415f84face9def4d240d.jpg,4.7275,-74.0623,SUBA,Alcaldía Local de Suba,2825,11,1377
a05e826e30a5451b93c97d0c8807b15e.jpeg,4.6024,-74.0663,CANDELARIA,Alcaldía Local de Santafé,627,61,961
985ecf8f4752458a96249352accbceec.jpeg,4.68518451,-74.0649313,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,2081,127,774
abb2cd8e0d2d45a3b0516f241600e4c4.jpg,4.600200277777778,-74.06898972222221,CANDELARIA,Alcaldía Local de La Candelaria,299,16,882
abf3c8020be64da08eac3bf1df467360.jpg,4.585249999999999,-74.135315,TUNJUELITO,Alcaldía Local de Tunjuelito,2089,5,1087
f2f78f44fd6744b796967c03be05bc40.jpeg,4.6657472222222225,-74.07926111111111,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,1110,124,609
c2366e6c0d3848b287bcf928ef07608c.jpeg,4.680373,-74.040247,CHAPINERO,Alcaldía Local de Usaquén,1898,41,755
e937ec95df7f489bbf54e7819f26deda.jpeg,4.605333,-74.075966,SANTA FE,Alcaldía Local de Santafé,660,102,249
9280450dd85d433da5b9a8cf6e55101f.jpeg,4.6657472222222225,-74.07926111111111,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,1110,124,609
7992c118ba914f14a4f2e73733f3da70.jpeg,4.605862,-74.073976,SANTA FE,Alcaldía Local de Santafé,432,5,59
5d2a32bf60e840a1a075d48351fefc39.jpeg,4.5443,-74.0987,SAN CRISTOBAL,Alcaldía Local de San Cristóbal,3144,8,4069
f6bc89dd63a94fa69b29f8b0038e3636.jpg,4.599825833333333,-74.07197416666666,CANDELARIA,Alcaldía Local de La Candelaria,46,7,760
498d7499200440c2b8ee871da08d0de3.jpg,4.6037,-74.0705,SANTA FE,Alcaldía Local de Santafé,317,1,489
daf456d888e3401bb7bf4b68d9f2a7da.jpg,4.5935,-74.078,CANDELARIA,Alcaldía Local de La Candelaria,1014,230,1494
d79f672b8a1041a890924608c17724f0.jpg,4.6038,-74.0705,SANTA FE,Alcaldía Local de Santafé,306,5,482
416034af218a4744ba96e77640194d55.jpg,4.5976,-74.078,CANDELARIA,Alcaldía Local de La Candelaria,754,138,1070
4def24a981ca446d8fc33e10f6065b7a.jpeg,4.734938888888889,-74.06414722222222,SUBA,Alcaldía Local de Suba,2304,157,1711
c33736da66374fa9a26c532ff4e11bb0.jpg,4.7275,-74.0622,SUBA,Alcaldía Local de Suba,2835,15,1387
c1666789f3e84bc793e162f10d1e15c8.jpg,4.60229,-74.06617,CANDELARIA,Alcaldía Local de Santafé,645,66,979
d981a62289174690a93479e9c8903703.jpeg,4.697111111111111,-74.07788888888888,SUBA,Alcaldía Local de Barrios Unidos,2403,54,1334
e4d398d70b2d44c58e72c1eda9e7c222.jpeg,4.738683333333333,-74.05764722222222,SUBA,Alcaldía Local de Suba,2944,124,1781
a035e75efe09478badaf481bb455530b.jpeg,4.6657472222222225,-74.07926111111111,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,1110,124,609
9252c7f6bd064c199ebab70b4a60c038.jpeg,4.739894444444444,-74.06566666666666,SUBA,Alcaldía Local de Suba,2048,6,1449
c262d74f2dfc4cc2b446af00fe8e0a77.jpeg,4.690504,-74.042919,USAQUEN,Alcaldía Local de Usaquén,1372,144,878
fa2960d368e148ffa343b91be5393915.jpeg,4.738683333333333,-74.05764722222222,SUBA,Alcaldía Local de Suba,2944,124,1781
984e5aebc5f84b1b94767454fddd46b6.jpeg,4.697227777777778,-74.07805555555555,SUBA,Alcaldía Local de Barrios Unidos,2413,32,1347
b77563bacf884180a25f591ecab517b4.jpeg,4.6024,-74.0662,CANDELARIA,Alcaldía Local de Santafé,634,56,971
2a48fce5f15e46b49be81e0f4dd16ae1.jpg,4.58562,-74.13676000000001,TUNJUELITO,Alcaldía Local de Tunjuelito,2200,6,1233
874805bcbb0e4293bb46797ae1ebf785.jpeg,4.690423,-74.042979,USAQUEN,Alcaldía Local de Usaquén,1382,134,886
77241e6c58a24daf8b58713722ea98df.jpg,4.6031,-74.0705,SANTA FE,Alcaldía Local de La Candelaria,354,26,532
41f38383acb8453a9f1073c1a16a964c.jpeg,4.73555,-74.06384166666666,SUBA,Alcaldía Local de Suba,2319,144,1785
45b0725a73044f5cbb1f712185ca009e.jpeg,4.705855555555556,-74.03665833333334,USAQUEN,Alcaldía Local de Usaquén,1326,135,1417
0eb6dd10f7af432695f177ecd26dc3b8.jpg,4.6027,-74.0691,SANTA FE,Alcaldía Local de La Candelaria,404,12,679
4c10e9d646b1496f885d9559e7cf0640.jpeg,4.68519127,-74.07040318,BARRIOS UNIDOS,Alcaldía Local de Barrios Unidos,1589,449,811
a249a95e742b4b2ba79dcf5a4c042056.jpeg,4.707794444444445,-74.03688055555556,USAQUEN,Alcaldía Local de Usaquén,1531,347,1633
020a676b2dd842c8a663b60b28c63c2a.jpeg,4.734938888888889,-74.06414722222222,SUBA,Alcaldía Local de Suba,2304,157,1711
8c99620cac654aae826fa22b2510a125.jpeg,4.605723,-74.073781,SANTA FE,Alcaldía Local de Santafé,413,6,78
f8a987228f9445439dab7dce7334e57a.jpg,4.63772,-74.09156527777778,TEUSAQUILLO,Alcaldía Local de Los Mártires,2148,112,1864
8dc3c61dccd84469b62e0a4cc43ddc41.jpg,4.5926,-74.0789,CANDELARIA,Alcaldía Local de La Candelaria,1155,202,1620
214814aebd77488e9ceee5266fe793e6.jpeg,4.7569,-74.089,SUBA,Alcaldía Local de Suba,1873,167,1342
9dc8b614485040a79f4f7ea027e5fcff.jpeg,4.752058333333333,-74.08370833333333,SUBA,Alcaldía Local de Suba,1258,7,1475
80c1ceef82704751b0526e2807cc2465.jpg,4.7274,-74.062,SUBA,Alcaldía Local de Suba,2859,12,1404
e71c51fbda4f4d33b3f7a36f9ba0e4d5.jpeg,4.6042,-74.0701,SANTA FE,Alcaldía Local de Santafé,260,8,495
e0a61408c2164736adc7ef84cbc047ce.jpeg,4.731572222222223,-74.06770277777777,SUBA,Alcaldía Local de Suba,2081,7,1176
98026dc40bfe42df9412eecf4ce486d5.jpeg,4.751644444444445,-74.08322777777778,SUBA,Alcaldía Local de Suba,1216,0,1508
0497126e15144bc795388968fab72125.jpg,4.602290550246835,-74.06618789769709,CANDELARIA,Alcaldía Local de Santafé,644,66,978
09de2a58a50d47a1b5a372e8d1ed9ae5.jpeg,4.6984,-74.0566,SUBA,Alcaldía Local de Usaquén,2817,140,213
b08ae24ee0ef4f02b9e1875013d3a78d.jpg,4.0,-74.0,,Alcaldía Local de Sumapaz,28636,46271,64961
9c704d54ee49487697ed07e2c9ea7aa2.jpg,4.585684722222222,-74.13678166666668,TUNJUELITO,Alcaldía Local de Tunjuelito,2208,5,1234
4e8f83db9b0c43a48feb783f2fb65030.jpg,4.7274,-74.062,SUBA,Alcaldía Local de Suba,2859,12,1404
bdf207d3483a4ee69a7a99cba50a30ff.jpeg,4.6024,-74.0662,CANDELARIA,Alcaldía Local de Santafé,634,56,971
jear1.jpg,4.6093374,-74.0687771,SANTA FE,Alcaldía Local de Santafé,344,14,593
jear2.jpg,4.675129999999999,-74.05143,CHAPINERO,Alcaldía Local de Usaquén,3129,35,1017
jear3.jpg,4.761764999999999,-74.0272266666666,USAQUEN,Alcaldía Local de Suba,6727,36,1927
jear4.jpg,4.6858660066667,-74.03649,USAQUEN,Alcaldía Local de Usaquén,1164,25,739
jear5.jpg,4.0,-74.0,,Alcaldía Local de Sumapaz,28636,46271,64961
jear6.jpg,4.702846666666666,-74.03328,USAQUEN,Alcaldía Local de Usaquén,883,8,1096
jear8.jpg,4.731368333333333,-74.028385,USAQUEN,Alcaldía Local de Usaquén,4027,0,2968
jear9.jpg,4.73222,-74.02802833333334,USAQUEN,Alcaldía Local de Usaquén,4124,2,2929
jear10.jpg,4.686463333333333,-74.035985,USAQUEN,Alcaldía Local de Usaquén,1079,69,665
5d140090-2521-4249-bd4b-3700f358d609_anonymous.jpeg,4.6819,-74.0475,CHAPINERO,Alcaldía Local de Usaquén,2303,176,1055
TC_00001_anonymous 1.jpeg,4.700683333333333,-74.05848055555555,SUBA,Alcaldía Local de Usaquén,3065,59,541
2_anonymous.jpeg,4.6014581,-74.0715928,SANTA FE,Alcaldía Local de La Candelaria,147,76,607
c4c752f4-6059-40ec-9441-cae83afa966c_anonymous.jpg,4.7259,-74.0758,SUBA,Alcaldía Local de Suba,1877,103,398
TC_00009_anonymous 1.jpeg,4.723177777777778,-74.052375,SUBA,Alcaldía Local de Usaquén,3881,56,1467
TimePhoto_20260509_175731_anonymous.jpg,4.684687222222222,-74.14131777777779,FONTIBON,Alcaldía Local de Fontibón,1220,5,3075
TC_00001_anonymous 2.jpeg,4.663322222222223,-74.05814444,CHAPINERO,Alcaldía Local de Chapinero,2467,70,1667
