X,Y,FID,OBJECTID_1,ID_CÁMARA,NOMBRE_DEL,LONGITUD,LATITUD,DIRECCIÓN,NÚMERO_DE,VELOCIDADM,CORREDOR_P,VIA_SECUND,SENTIDO,CALZADA,CARRILES,LOCALIDAD,INFRACCION
-8245878.7365,513335.069200002,62,62,DEI-027/CAM-01,AK 10A - CL 19 (S-N),-74.073989,4.606397,AK 10 - CL 18 (S-N),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Carrera 10,CL 19,(Sur - Norte),Única,2,Santa Fe,C.29 - D.04 - C.35 - D.02
-8245851.018,513440.942200001,63,63,DEI-027/CAM-02,AK 10A - CL 19 (N-S),-74.07374,4.607345,AK 10 - CL 19 (N-S),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Carrera 10,CL 19,(Norte - Sur),Única,2,Santa Fe,C.29 - D.04 - C.35 - D.02
-8242357.0331,520872.2804,64,64,DEI-028/CAM-01,AK 7 - CL 94 (N-S),-74.042353,4.673883,AK 7 - CL 93A (N-S),MT-20194000563451 Noviembre 19 de 2019,60,Av. Carrera 7,CL 94,(Norte - Sur),Única,3,Chapinero,C.29 - C.14 - C.35 - D.02
-8242352.135,520867.701099999,65,65,DEI-028/CAM-02,AK 7 - CL 94 (S-N),-74.042309,4.673842,AK 7 - CL 93A (S-N),MT-20194000563451 Noviembre 19 de 2019,60,Av. Carrera 7,CL 94,(Sur - Norte),Única,3,Chapinero,C.29 - C.14 - C.35 - D.02
-8243853.3897,523408.5986,66,66,DEI-029/CAM-01,AUTONORTE - CL 116 (N-S) C. LEN,-74.055795,4.696591,AUTP. NORTE - CL 108 (N-S),MT. No.: 20204000111021 Marzo 27 de 2020,60,Autopista Norte,CL 116,(Norte - Sur),Lenta,2,Suba,C.29 - C.35 - D.02
-8243842.3691,523407.7051,67,67,DEI-029/CAM-02,AUTONORTE - CL 116 (N-S) C. RAP,-74.055696,4.696583,AUTP. NORTE - CL 108 (N-S),MT. No.: 20204000111021 Marzo 27 de 2020,60,Autopista Norte,CL 116,(Norte - Sur),Rápida,3,Suba,C.29 - C.35 - D.02
-8243795.9488,523454.0583,68,68,DEI-029/CAM-03,AUTONORTE - CL 116 (S-N) C. RAP,-74.055279,4.696998,AUTP. NORTE - CL 109 (S-N),MT. No.: 20204000111021 Marzo 27 de 2020,60,Autopista Norte,CL 116,(Sur - Norte),Rápida,3,Usaquén,C.29 - C.35 - D.02
-8243778.249,523450.9309,69,69,DEI-029/CAM-04,AUTONORTE - CL 116 (S-N) C. LEN,-74.05512,4.69697,AUTP. NORTE - CL 109 (S-N),MT. No.: 20204000111021 Marzo 27 de 2020,60,Autopista Norte,CL 116,(Sur - Norte),Lenta,2,Usaquén,C.29 - C.35 - D.02
-8244919.0512,529708.537700001,70,70,DEI-030/CAM-01,AV BOYACA - CL 169B (N-S),-74.065368,4.752992,AV BOYACÁ - CL 168 (N-S),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Boyacá,CL 169 B,(Norte - Sur),Única,5,Suba,C.29 - C.35 - D.02
-8244908.9211,529709.0962,71,71,DEI-030/CAM-02,AV BOYACA - CL 169B (S-N),-74.065277,4.752997,AV BOYACÁ - CL 167 (S-N),MT. No.: 20204000111021 Marzo 27 de 2020,50,Av. Boyacá,CL 169 B,(Sur - Norte),Única,5,Suba,C.29 - C.35 - D.02
